strategy,single_side_cost_bps,start_date,end_date,rebalance_months,total_return,annualized_return,max_drawdown,sharpe_ratio,volatility,num_rebalances,total_trades,total_costs,total_costs_pct_initial,benchmark_annualized,annualized_alpha,information_ratio
fcf_roe_value,0.0,2021-06-30,2026-07-16,6,1.0572734309903038,0.1536660777379777,0.2565988892549441,0.828189908787086,0.1985560183932671,10,312,0.0,0.0,0.11783434637753865,0.03594468930577466,0.2739369858947133
fcf_roe_value,5.0,2021-06-30,2026-07-16,6,1.0457360225437675,0.15238115123769402,0.2569106619803464,0.8229747718155213,0.19856688224936733,10,315,8036.117126314512,0.008036117126314512,0.11783434637753865,0.034658757313413835,0.2662979124547899
fcf_roe_value,10.0,2021-06-30,2026-07-16,6,1.0342648018895142,0.15109782234154423,0.2572222228443617,0.8177521480167783,0.19858049689231522,10,313,16020.953231561827,0.016020953231561826,0.11783434637753865,0.033374425155607845,0.25865666917398766
fcf_roe_value,20.0,2021-06-30,2026-07-16,6,1.0115193587874107,0.14853594693862493,0.2578447098514498,0.8072853895087072,0.19861595661879092,10,313,31838.05063468497,0.03183805063468497,0.11783434637753865,0.030810549902231976,0.24337047950004875
growth_value,0.0,2021-06-30,2026-07-16,6,1.218723974557932,0.17106718334316762,0.20643161339605554,0.9182724233186205,0.1947775786843141,10,513,0.0,0.0,0.11783434637753865,0.05335950793087596,0.45741642886578215
growth_value,5.0,2021-06-30,2026-07-16,6,1.2033919865489695,0.16945918057541864,0.2068015522185841,0.9116089181467301,0.19478602177132603,10,513,9817.165817144034,0.009817165817144034,0.11783434637753865,0.05175023049630423,0.4458654601930524
growth_value,10.0,2021-06-30,2026-07-16,6,1.1881668393520148,0.16785348016886226,0.20717131848352255,0.9049291718109537,0.19479913353535525,10,513,19556.36456301488,0.019556364563014877,0.11783434637753865,0.050143258760340315,0.43429396728696074
growth_value,20.0,2021-06-30,2026-07-16,6,1.1580340526636452,0.16464897088965658,0.20791033382333834,0.8915230891255941,0.19483931497039156,10,513,38803.217056744055,0.038803217056744055,0.11783434637753865,0.046936216804569275,0.4110997951905516
momentum,0.0,2021-06-30,2026-07-16,6,0.6927644961250319,0.10993452444009089,0.35361762898156723,0.5793602894802533,0.22663746261391687,10,585,0.0,0.0,0.11783434637753865,-0.007820526426760788,0.02982764953675257
momentum,5.0,2021-06-30,2026-07-16,6,0.6775668563568986,0.10795277344024434,0.35602901879750126,0.5717963004247626,0.22665000220967763,10,587,10000.341064320835,0.010000341064320835,0.11783434637753865,-0.00980377525336018,0.016222802949862877
momentum,10.0,2021-06-30,2026-07-16,6,0.6625045398763569,0.10597441300272048,0.358431494509892,0.5642228261124447,0.22666897129298355,10,585,19899.549749081965,0.019899549749081966,0.11783434637753865,-0.011783628531554013,0.0026294184168323144
momentum,20.0,2021-06-30,2026-07-16,6,0.6327810835857319,0.10202783844902852,0.3632098383169893,0.5490501442270943,0.2267261312697043,10,586,39398.466395244744,0.03939846639524475,0.11783434637753865,-0.015733173859936223,-0.02450796382066863
