candidate,single_side_cost_bps,start_date,end_date,rebalance_months,annualized_return,max_drawdown,sharpe_ratio,volatility,annualized_alpha,information_ratio,total_costs,total_trades,final_sub_contributions,baseline_annualized_return,diff_annualized_return,diff_max_drawdown,diff_sharpe_ratio,diff_annualized_alpha
A,0,2021-06-30,2026-07-16,6,0.16382622706994954,0.25307598019700939,0.89720879129926012,0.19121448182189027,0.04611282370558234,0.33232157904514453,0,1081,"{""growth"": ""0.48913691021008238"", ""quality"": ""0.51086308978991768""}",0.15366607773797769,0.010160149331971846,-0.0035229090579347311,0.06901888251217414,0.010168134399807682
A,10,2021-06-30,2026-07-16,6,0.16091101597688251,0.25426462006722228,0.88497515345570754,0.19093823242344499,0.043195315245691646,0.31392751388094586,17971.17808748722,1083,"{""growth"": ""0.48907098873522903"", ""quality"": ""0.51092901126477097""}",0.15109782234154423,0.0098131936353382798,-0.002957602777139412,0.067223005438929229,0.0098208900900838003
A,20,2021-06-30,2026-07-16,6,0.15800403171121502,0.25545165389639557,0.87265001776874318,0.19067880935576426,0.040286045093214096,0.29538954351819952,35681.620203267412,1066,"{""growth"": ""0.4890052583302214"", ""quality"": ""0.51099474166977854""}",0.14853594693862493,0.0094680847725900907,-0.0023930559550542352,0.065364628260035973,0.0094754951909821195
B,0,2021-06-30,2026-07-16,6,0.15652031402799937,0.23047770516587851,0.86812123655588902,0.19008017147419248,0.038801162626271646,0.30269228543349952,0,1804,"{""growth"": ""0.34710988791907144"", ""momentum"": ""0.13499354150198173"", ""quality"": ""0.51789657057894678""}",0.15366607773797769,0.0028542362900216833,-0.026121184089065608,0.039931327768803038,0.0028564733204969883
B,10,2021-06-30,2026-07-16,6,0.15348642456051143,0.23170402280935376,0.85516210527978043,0.1897959232405991,0.035764895485495884,0.2820070375652296,18237.056742417411,1805,"{""growth"": ""0.34706355235370551"", ""momentum"": ""0.134972644971631"", ""quality"": ""0.51796380267466358""}",0.15109782234154423,0.0023886022189671952,-0.025518200035007932,0.037409957263002114,0.0023904703298880392
B,20,2021-06-30,2026-07-16,6,0.15046136163630197,0.2329287341803381,0.84210507922721289,0.18952994638875731,0.032737467251379382,0.26114054779012763,36198.222659876054,1806,"{""growth"": ""0.34701738213114436"", ""momentum"": ""0.13495172266961811"", ""quality"": ""0.51803089519923751""}",0.14853594693862493,0.0019254146976770414,-0.024915975671111701,0.034819689718505686,0.0019269173491474056
